SA2011,SOA2011,X_COORD,Y_COORD,Hectares
N00000002,95AA01S2,315465,377176,169.044
N00000004,95AA01S2,307147,376182,8700.04
N00000007,95AA01S3,314461,383440,1287.99
N00000008,95AA01S3,317009,383798,343.431
N00000009,95AA01S3,318697,383198,854.499
N00000005,95AA01S2,311125,381985,2063.96
N00000001,95AA01S1,315036,380003,540.076
N00000011,95AA02W1,313473,385662,451.383
N00000012,95AA02W1,314833,385603,11.491
N00000013,95AA02W1,314730,386251,20.4156
N00000014,95AA02W1,314988,385976,13.0791
N00000015,95AA02W1,314344,386097,26.6797
N00000016,95AA02W1,314620,385856,3.94525
N00000017,95AA03W1,316776,385929,8.6633
N00000018,95AA03W1,316825,385686,9.50712
N00000019,95AA03W1,317100,386026,7.14503
N00000020,95AA03W1,317020,385789,3.80723
N00000021,95AA03W1,317485,385716,5.75376
N00000022,95AA03W1,317325,385671,9.57973
N00000023,95AA03W1,317134,385630,11.1688
N00000024,95AA04W1,321180,380967,1036.43
N00000025,95AA04W1,322787,378464,1084.6
N00000026,95AA04W1,319775,378319,1293.01
N00000027,95AA04W1,317391,375891,927.653
N00000028,95AA04W1,315964,376221,17.0002
N00000029,95AA04W1,323762,382809,1141.66
N00000030,95AA04W1,326503,378757,2518.13
N00000031,95AA05W1,306241,384358,3977.6
N00000032,95AA05W1,307422,388885,194.951
N00000033,95AA05W1,304631,388915,1204.04
N00000034,95AA05W1,306538,390375,116.278
N00000035,95AA05W1,307698,390172,5.8516
N00000036,95AA05W1,307585,389996,18.7378
N00000040,95AA06S2,315334,375841,10.9415
N00000037,95AA06S1,315048,375752,10.9562
N00000041,95AA06S2,315939,375882,6.09023
N00000038,95AA06S1,313435,374389,1211.2
N00000042,95AA06S2,315744,375837,11.1413
N00000039,95AA06S1,314575,375800,55.5057
N00000043,95AA06S2,314043,376343,131.521
N00000044,95AA06S2,315491,375840,28.8887
N00000045,95AA07W1,304685,391885,1025.65
N00000046,95AA07W1,306279,394028,894.341
N00000047,95AA07W1,307799,392885,388.903
N00000048,95AA07W1,308183,391361,15.3567
N00000049,95AA07W1,307966,391229,9.28444
N00000050,95AA07W1,307844,390784,17.1667
N00000051,95AA08W1,316926,387334,22.5237
N00000052,95AA08W1,317364,387791,287.26
N00000053,95AA08W1,317116,386684,34.1241
N00000054,95AA08W1,317548,386383,8.55086
N00000055,95AA08W1,317789,386710,43.6087
N00000056,95AA08W1,317424,386063,6.03097
N00000057,95AA09W1,315847,386981,2.65172
N00000058,95AA09W1,315914,386854,4.58178
N00000059,95AA09W1,315733,387047,8.43267
N00000060,95AA09W1,315568,386725,7.54247
N00000061,95AA09W1,315876,386505,23.6134
N00000062,95AA09W1,316110,386135,20.7737
N00000063,95AA09W1,315515,387147,27.1301
N00000064,95AA10W1,316893,386545,6.96641
N00000065,95AA10W1,316561,386318,9.85921
N00000066,95AA10W1,316350,386284,7.01184
N00000067,95AA10W1,317051,386372,6.99024
N00000068,95AA10W1,316515,385916,16.1518
N00000069,95AA10W1,316892,386199,9.67199
N00000074,95AA11S2,314017,388825,243.71
N00000075,95AA11S2,314205,387457,43.7394
N00000076,95AA11S2,314791,387737,6.96393
N00000077,95AA11S2,314741,387329,14.3996
N00000070,95AA11S1,314482,387252,19.9186
N00000071,95AA11S1,314983,386827,39.7021
N00000072,95AA11S1,315750,385725,113.753
N00000073,95AA11S1,315059,386460,21.6555
N00000078,95AA11S2,314390,388557,8.16141
N00000079,95AA12W1,320822,390543,1437.84
N00000080,95AA12W1,323575,388320,454.862
N00000081,95AA12W1,322784,387531,114.973
N00000082,95AA12W1,320036,387863,1233.45
N00000083,95AA12W1,319645,394798,2138.95
N00000084,95AA12W1,323059,391985,1128.74
N00000088,95AA13S2,308190,390679,12.9588
N00000089,95AA13S2,309392,390728,71.4083
N00000090,95AA13S2,308811,390403,11.6683
N00000085,95AA13S1,308127,389956,43.8401
N00000091,95AA13S2,308583,391117,95.7282
N00000086,95AA13S1,308599,389942,39.6986
N00000087,95AA13S1,310851,388084,2033.07
N00000092,95AA14W1,316038,394420,1299.38
N00000093,95AA14W1,312505,391308,715.814
N00000094,95AA14W1,312035,393204,794.877
N00000095,95AA14W1,309681,393099,1001.19
N00000096,95AA14W1,315724,391277,1405.79
N00000101,95AA15S2,314737,388670,13.2526
N00000102,95AA15S2,314888,388424,8.62065
N00000097,95AA15S1,314919,387983,17.8213
N00000098,95AA15S1,315676,388539,132.36
N00000099,95AA15S1,315273,387613,28.5142
N00000100,95AA15S1,314948,387292,6.6912
N00000103,95AA15S2,315712,389155,217.479
