"LGD2014NAME","SA2011","SOA2001_name","2015 Default Urban/Rural","Multiple Deprivation Measure Rank 
(where 1 is most deprived)","Population","Area Sq Km","People per Sq Km"
"Antrim and Newtownabbey","N00000001","Aldergrove_1","Rural",3051,997,5.40076,184.603648375414
"Antrim and Newtownabbey","N00000002","Aldergrove_2","Mixed urban/rural",3726,411,1.69044,243.131965642081
"Antrim and Newtownabbey","N00000003","Aldergrove_2","Rural",3733,263,5.0021,52.5779172747446
"Antrim and Newtownabbey","N00000004","Aldergrove_2","Rural",3409,665,87.0004,7.64364301773325
"Antrim and Newtownabbey","N00000005","Aldergrove_2","Rural",2828,479,20.6396,23.2078141049245
"Antrim and Newtownabbey","N00000006","Aldergrove_2","Rural",3871,326,5.69991,57.1938855174906
"Antrim and Newtownabbey","N00000007","Aldergrove_3","Rural",2891,241,12.8799,18.7113253984891
"Antrim and Newtownabbey","N00000008","Aldergrove_3","Mixed urban/rural",1594,300,3.43431,87.353791591324
"Antrim and Newtownabbey","N00000009","Aldergrove_3","Mixed urban/rural",3824,820,8.54499,95.9626635022393
"Antrim and Newtownabbey","N00000010","Aldergrove_3","Rural",2821,259,5.84805,44.2882670291807
"Antrim and Newtownabbey","N00000011","Balloo","Mixed urban/rural",2398,317,4.51383,70.2286085209235
"Antrim and Newtownabbey","N00000012","Balloo","Urban",2724,255,0.11491,2219.12801322774
"Antrim and Newtownabbey","N00000013","Balloo","Urban",2679,250,0.204156,1224.55377260526
"Antrim and Newtownabbey","N00000014","Balloo","Urban",2703,472,0.130791,3608.81100381525
"Antrim and Newtownabbey","N00000015","Balloo","Urban",1141,228,0.266797,854.582322889688
"Antrim and Newtownabbey","N00000016","Balloo","Urban",1040,212,0.0394525,5373.55047208669
"Antrim and Newtownabbey","N00000017","Ballycraigy","Urban",1473,379,0.086633,4374.77635543038
"Antrim and Newtownabbey","N00000018","Ballycraigy","Urban",3243,234,0.0950712,2461.3132052609
"Antrim and Newtownabbey","N00000019","Ballycraigy","Urban",1633,287,0.0714503,4016.77809610316
"Antrim and Newtownabbey","N00000020","Ballycraigy","Urban",502,229,0.0380723,6014.87170462515
"Antrim and Newtownabbey","N00000021","Ballycraigy","Urban",1597,300,0.0575376,5213.98181363143
"Antrim and Newtownabbey","N00000022","Ballycraigy","Urban",1215,245,0.0957973,2557.48335287111
"Antrim and Newtownabbey","N00000023","Ballycraigy","Urban",1358,214,0.111688,1916.05185874937
"Antrim and Newtownabbey","N00000024","Clady","Rural",3768,541,10.3643,52.1984118560829
"Antrim and Newtownabbey","N00000025","Clady","Rural",3070,513,10.846,47.2985432417481
"Antrim and Newtownabbey","N00000026","Clady","Rural",3081,527,12.9301,40.7576120834332
"Antrim and Newtownabbey","N00000027","Clady","Mixed urban/rural",1553,587,9.27653,63.2779713966321
"Antrim and Newtownabbey","N00000028","Clady","Urban",3334,334,0.170002,1964.68276843802
"Antrim and Newtownabbey","N00000029","Clady","Rural",2562,427,11.4166,37.4016782579752
"Antrim and Newtownabbey","N00000030","Clady","Rural",2588,362,25.1813,14.3757470821602
"Antrim and Newtownabbey","N00000031","Cranfield","Rural",2563,780,39.776,19.6098149637973
"Antrim and Newtownabbey","N00000032","Cranfield","Mixed urban/rural",3775,363,1.94951,186.200635031367
"Antrim and Newtownabbey","N00000033","Cranfield","Rural",1950,544,12.0404,45.1812232151756
"Antrim and Newtownabbey","N00000034","Cranfield","Mixed urban/rural",4078,451,1.16278,387.863568344829
"Antrim and Newtownabbey","N00000035","Cranfield","Urban",1048,286,0.058516,4887.55212249641
"Antrim and Newtownabbey","N00000036","Cranfield","Urban",3031,331,0.187378,1766.48272475958
"Antrim and Newtownabbey","N00000037","Crumlin_1","Urban",2450,261,0.109562,2382.21281101112
"Antrim and Newtownabbey","N00000038","Crumlin_1","Mixed urban/rural",2702,410,12.112,33.8507265521797
"Antrim and Newtownabbey","N00000039","Crumlin_1","Urban",2796,1210,0.555057,2179.95629277714
"Antrim and Newtownabbey","N00000040","Crumlin_2","Urban",1905,276,0.109415,2522.50605492848
"Antrim and Newtownabbey","N00000041","Crumlin_2","Urban",3507,448,0.0609023,7356.04402460991
"Antrim and Newtownabbey","N00000042","Crumlin_2","Urban",3233,375,0.111413,3365.85497204096
"Antrim and Newtownabbey","N00000043","Crumlin_2","Urban",2959,1221,1.31521,928.368853643144
"Antrim and Newtownabbey","N00000044","Crumlin_2","Urban",854,333,0.288887,1152.69984457591
"Antrim and Newtownabbey","N00000045","Drumanaway","Rural",3499,520,10.2565,50.6995563788817
"Antrim and Newtownabbey","N00000046","Drumanaway","Rural",1312,372,8.94341,41.5948726492468
"Antrim and Newtownabbey","N00000047","Drumanaway","Mixed urban/rural",3561,358,3.88903,92.0538026191621
"Antrim and Newtownabbey","N00000048","Drumanaway","Urban",1721,290,0.153567,1888.42654997493
"Antrim and Newtownabbey","N00000049","Drumanaway","Urban",1399,307,0.0928444,3306.60761446032
"Antrim and Newtownabbey","N00000050","Drumanaway","Urban",3693,312,0.171667,1817.47219908311
"Antrim and Newtownabbey","N00000051","Farranshane","Urban",549,317,0.225237,1407.40642079232
