FeatureCode,DateCode,Measurement,Units,Value
S13002516,2014,Count,Hectares,23827.131
S13002517,2014,Count,Hectares,177176.224
S13002518,2014,Count,Hectares,79837.075
S13002519,2014,Count,Hectares,109191.675
S13002520,2014,Count,Hectares,156622.294
S13002521,2014,Count,Hectares,81487.72
S13002522,2014,Count,Hectares,9008.735
S13002523,2014,Count,Hectares,12383.63
S13002524,2014,Count,Hectares,38206.181
S13002525,2014,Count,Hectares,345.355
S13002526,2014,Count,Hectares,2860.6
S13002545,2014,Count,Hectares,994.025
S13002546,2014,Count,Hectares,1102.557
S13002547,2014,Count,Hectares,662.328
S13002548,2014,Count,Hectares,418.379
S13002549,2014,Count,Hectares,397.803
S13002551,2014,Count,Hectares,533.637
S13002552,2014,Count,Hectares,994.811
S13002600,2014,Count,Hectares,40272.532
S13002601,2014,Count,Hectares,44379.676
S13002602,2014,Count,Hectares,48606.218
S13002603,2014,Count,Hectares,110205.726
S13002604,2014,Count,Hectares,3464.901
S13002605,2014,Count,Hectares,970.247
S13002606,2014,Count,Hectares,1532.815
S13002607,2014,Count,Hectares,20720.969
S13002608,2014,Count,Hectares,35796.942
S13002732,2014,Count,Hectares,951.723
S13002733,2014,Count,Hectares,7966.85
S13002734,2014,Count,Hectares,17452.457
S13002735,2014,Count,Hectares,29743.989
S13002736,2014,Count,Hectares,16147.565
S13002737,2014,Count,Hectares,26717.833
S13002761,2014,Count,Hectares,70659.908
S13002762,2014,Count,Hectares,27710.358
S13002763,2014,Count,Hectares,23860.224
S13002764,2014,Count,Hectares,66445.66
S13002765,2014,Count,Hectares,32437.437
S13002766,2014,Count,Hectares,60148.753
S13002767,2014,Count,Hectares,31129.049
S13002768,2014,Count,Hectares,34343.462
S13002769,2014,Count,Hectares,41081.015
S13002770,2014,Count,Hectares,23947.948
S13002771,2014,Count,Hectares,61410.228
S13002772,2014,Count,Hectares,40331.825
S13002773,2014,Count,Hectares,46167.032
S13002774,2014,Count,Hectares,33593.293
S13002775,2014,Count,Hectares,7192.37
S13002776,2014,Count,Hectares,13991.215
S13002777,2014,Count,Hectares,255.05
S13002778,2014,Count,Hectares,5134.444
S13002820,2014,Count,Hectares,8032.719
S13002821,2014,Count,Hectares,3224.476
S13002822,2014,Count,Hectares,2002.308
S13002823,2014,Count,Hectares,1749.963
S13002824,2014,Count,Hectares,9727.282
S13002825,2014,Count,Hectares,7763.053
S13002826,2014,Count,Hectares,4456.576
S13002827,2014,Count,Hectares,1888.825
S13002828,2014,Count,Hectares,3903.545
S13002830,2014,Count,Hectares,874.144
S12000039,2014,Count,Hectares,15875.816
S12000040,2014,Count,Hectares,42748.746
S92000003,2014,Count,Hectares,7793711.079
S12000005,2014,Count,Hectares,15863.76
S12000006,2014,Count,Hectares,642619.534
S12000008,2014,Count,Hectares,126212.246
S12000010,2014,Count,Hectares,67918.023
S12000011,2014,Count,Hectares,17379.186
S12000013,2014,Count,Hectares,305950.027
S12000014,2014,Count,Hectares,29736.349
S12000017,2014,Count,Hectares,2568388.607
S12000018,2014,Count,Hectares,16043.522
S12000019,2014,Count,Hectares,35368.555
S12000020,2014,Count,Hectares,223756.443
S12000021,2014,Count,Hectares,88533.963
S12000023,2014,Count,Hectares,98980.416
S12000026,2014,Count,Hectares,473174.041
S12000027,2014,Count,Hectares,146665.229
S12000028,2014,Count,Hectares,122198.158
S12000029,2014,Count,Hectares,177189.068
S12000030,2014,Count,Hectares,218696.754
S12000033,2014,Count,Hectares,18570.629
S12000034,2014,Count,Hectares,631260.885
S12000035,2014,Count,Hectares,690946.621
S12000036,2014,Count,Hectares,26333.391
S12000038,2014,Count,Hectares,26193.706
S12000041,2014,Count,Hectares,218178.547
S12000042,2014,Count,Hectares,5977.683
S12000044,2014,Count,Hectares,46991.26
S12000045,2014,Count,Hectares,17448.885
S12000046,2014,Count,Hectares,17467.557
S08000015,2014,Count,Hectares,336944.367
S08000016,2014,Count,Hectares,473174.041
S08000017,2014,Count,Hectares,642619.534
S08000019,2014,Count,Hectares,264296.864
S08000020,2014,Count,Hectares,873587.957
S08000021,2014,Count,Hectares,110408.672
S08000022,2014,Count,Hectares,3259335.227
S08000023,2014,Count,Hectares,224180.328
S08000024,2014,Count,Hectares,172368.715
S08000025,2014,Count,Hectares,98980.416
S08000026,2014,Count,Hectares,146665.229
S08000028,2014,Count,Hectares,305950.027
S16000074,2014,Count,Hectares,1702.338
S16000075,2014,Count,Hectares,9273.339
S16000076,2014,Count,Hectares,16840.508
S16000077,2014,Count,Hectares,150449.623
S16000078,2014,Count,Hectares,349731.665
S16000079,2014,Count,Hectares,20603.631
S16000080,2014,Count,Hectares,21283.866
S16000081,2014,Count,Hectares,146226.227
S16000082,2014,Count,Hectares,128789.91
S16000083,2014,Count,Hectares,649534.485
S16000084,2014,Count,Hectares,4353.465
S16000085,2014,Count,Hectares,85769.255
S16000086,2014,Count,Hectares,1245784.788
S16000087,2014,Count,Hectares,206545.821
S16000088,2014,Count,Hectares,24139.786
S16000089,2014,Count,Hectares,7767.288
