"DZ_CODE","UR8FOLD","URNAME","Area Name","Council Area","Population","Area Sq Km","People per Sq Km","Overall_SIMD16_rank"
"S01006517",1,"Large Urban Areas","Cults, Bieldside and Milltimber West - 05","Aberdeen City","1052",10.44454,100.722482751754,5843
"S01006518",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 01","Aberdeen City","664",0.51923,1278.81670935809,6607
"S01006519",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 02","Aberdeen City","941",0.30402,3095.1911058483,6404
"S01006520",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 03","Aberdeen City","875",0.20064,4361.04465709729,6456
"S01006521",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 04","Aberdeen City","793",1.47382,538.057564695824,6517
"S01006522",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 05","Aberdeen City","675",0.3787,1782.41351993663,6785
"S01006523",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 06","Aberdeen City","957",0.28754,3328.23259372609,6496
"S01006524",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 07","Aberdeen City","1056",1.75171,602.839511106291,3982
"S01006525",1,"Large Urban Areas","Cults, Bieldside and Milltimber East - 08","Aberdeen City","904",0.35944,2515.02336968618,6333
"S01006526",1,"Large Urban Areas","Garthdee - 01","Aberdeen City","924",0.11193,8255.15947467167,2599
"S01006527",1,"Large Urban Areas","Garthdee - 02","Aberdeen City","756",0.15624,4838.70967741935,1957
"S01006528",1,"Large Urban Areas","Garthdee - 03","Aberdeen City","1154",0.4613,2501.62584001734,3912
"S01006529",1,"Large Urban Areas","Garthdee - 04","Aberdeen City","932",0.46428,2007.40932196089,4128
"S01006530",1,"Large Urban Areas","Garthdee - 05","Aberdeen City","785",0.13004,6036.60412180867,2531
"S01006531",1,"Large Urban Areas","Garthdee - 06","Aberdeen City","946",0.16993,5566.99817571941,2240
