"LSOA11CD","LSOA11NM","RUC11CD","RUC11","FID","Mid-2017 population","Area Sq Km","People per Sq Km","LSOA Name (Eng)","LSOA Name - 
ONS classification","Local Authority Name (Eng)","WIMD 2014 Overall Rank(r)","WIMD 2014 Overall Decile","WIMD 2014 Overall Quintile","WIMD 2014 Overall Quartile"
"W01001294","Merthyr Tydfil 003B","C1","Urban city and town",34001,"1726","1.6488999999999998","1046.7584450239556","Cyfarthfa 4","Merthyr Tydfil 003B","Merthyr Tydfil",1611,9,5,4
"W01001345","Caerphilly 021C","C1","Urban city and town",34002,"1459","0.55869999999999997","2611.4193663862538","Bedwas Trethomas and Machen 6","Caerphilly 021C","Caerphilly",25,1,1,1
"W01001295","Merthyr Tydfil 002A","C1","Urban city and town",34003,"1508","0.96209999999999996","1567.4046356927554","Dowlais 1","Merthyr Tydfil 002A","Merthyr Tydfil",160,1,1,1
"W01001346","Caerphilly 020D","C1","Urban city and town",34004,"1609","1.0249999999999999","1569.7560975609758","Bedwas Trethomas and Machen 7","Caerphilly 020D","Caerphilly",868,5,3,2
"W01001296","Merthyr Tydfil 002B","C1","Urban city and town",34005,"1609","6.6163999999999996","243.18360437700261","Dowlais 2","Merthyr Tydfil 002B","Merthyr Tydfil",867,5,3,2
"W01001347","Caerphilly 005C","C1","Urban city and town",34006,"1448","0.56669999999999998","2555.1438150697018","Blackwood 1","Caerphilly 005C","Caerphilly",940,5,3,2
"W01001495","Torfaen 008C","C1","Urban city and town",34007,"1785","1.0776000000000001","1656.458797327394","Croesyceiliog South","Torfaen 008C","Torfaen",1414,8,4,3
"W01001297","Merthyr Tydfil 002C","C1","Urban city and town",34008,"1827","1.8122999999999998","1008.1112398609503","Dowlais 3","Merthyr Tydfil 002C","Merthyr Tydfil",581,4,2,2
"W01001348","Caerphilly 009A","C1","Urban city and town",34009,"1841","0.32250000000000001","5708.5271317829456","Blackwood 2","Caerphilly 009A","Caerphilly",324,2,1,1
"W01001496","Torfaen 004B","C1","Urban city and town",34010,"1429","6.6802999999999999","213.91254883762704","Cwmyniscoy","Torfaen 004B","Torfaen",242,2,1,1
"W01001298","Merthyr Tydfil 002D","C1","Urban city and town",34011,"1837","1.4199999999999999","1293.661971830986","Dowlais 4","Merthyr Tydfil 002D","Merthyr Tydfil",305,2,1,1
"W01001349","Caerphilly 009B","C1","Urban city and town",34012,"1862","0.38400000000000001","4848.958333333333","Blackwood 3","Caerphilly 009B","Caerphilly",1618,9,5,4
"W01001497","Torfaen 011A","C1","Urban city and town",34013,"1409","0.48829999999999996","2885.5211959860744","Fairwater (Torfaen) 1","Torfaen 011A","Torfaen",517,3,2,2
"W01001299","Merthyr Tydfil 008A","C1","Urban city and town",34014,"1633","0.60460000000000003","2700.9593119417796","Gurnos 1","Merthyr Tydfil 008A","Merthyr Tydfil",32,1,1,1
"W01001350","Caerphilly 009C","C1","Urban city and town",34015,"1806","0.63380000000000003","2849.479331019249","Blackwood 4","Caerphilly 009C","Caerphilly",836,5,3,2
"W01001498","Torfaen 011B","C1","Urban city and town",34016,"1193","0.2364","5046.5313028764804","Fairwater (Torfaen) 2","Torfaen 011B","Torfaen",406,3,2,1
"W01001300","Merthyr Tydfil 008B","C1","Urban city and town",34017,"1900","0.64400000000000002","2950.310559006211","Gurnos 2","Merthyr Tydfil 008B","Merthyr Tydfil",61,1,1,1
"W01001351","Caerphilly 005D","C1","Urban city and town",34018,"1459","2.3235000000000001","627.93199913922956","Blackwood 5","Caerphilly 005D","Caerphilly",1693,9,5,4
"W01001499","Torfaen 011C","C1","Urban city and town",34019,"1217","0.36430000000000001","3340.6533077134227","Fairwater (Torfaen) 3","Torfaen 011C","Torfaen",1345,8,4,3
"W01001301","Merthyr Tydfil 008C","C1","Urban city and town",34020,"1916","0.2833","6763.1486057183201","Gurnos 3","Merthyr Tydfil 008C","Merthyr Tydfil",121,1,1,1
"W01001352","Caerphilly 007A","C1","Urban city and town",34021,"1935","0.30530000000000002","6338.0281690140846","Cefn Fforest 1","Caerphilly 007A","Caerphilly",333,2,1,1
